;População residente ;Superfície em km2 ;Densidade populacional ;Jovens (%) <15;População em idade activa (%) ;Idosos (%) ;Índice de envelhecimento ;População estrangeira (2);População estrangeira em % da população residente (2);Nascimentos (3);Óbitos ;Taxa de mortalidade infantil (‰) ;Diferença entre os nascimentos e os óbitos ;Casamentos ;Divórcios ;Hospitais ;Farmácias (1);Alojamentos familiares clássicos ;Edifícios novos concluídos para habitação familiar ;Valores médios de avaliação bancária dos alojamentos (€/m2) ;Estabelecimentos do ensino pré-escolar ;Estabelecimentos do 1.º ciclo do ensino básico ;Estabelecimentos do 2.º ciclo do ensino básico ;Estabelecimentos do 3.º ciclo do ensino básico ;Estabelecimentos do ensino secundário ;Alunos do ensino não superior (5);Estabelecimentos do ensino superior ;Alunos do ensino superior (5);Museus ;Sessões de espectáculos ao vivo ;Ecrãs de cinema ;Despesas da Câmara Municipal em cultura e desporto (%) ;Empresas não financeiras (4);Pessoal ao serviço nas empresas não financeiras (4);Pessoal ao serviço nas quatro maiores empresas do município (%) ;Ganho médio mensal dos trabalhadores por conta de outrem, € ;Bancos e caixas económicas ;Caixas automáticas multibanco ;Pensões da Segurança Social ;Pensões da Caixa Geral de Aposentações ;Pensões da Segurança Social e da CGA em % da população residente ;Beneficiários do Rendimento Social de Inserção (RSI) ;Desempregados inscritos nos centros de emprego ;Desempregados inscritos nos centros de emprego em % da população residente ;Trabalhadores da Administração Pública Local ;Despesas da Câmara Municipal (7);Receitas da Câmara Municipal (8);Saldo financeiro da Câmara Municipal ;Transferências recebidas no total das receitas da Câmara Municipal (%) ;Crimes registados pelas polícias por mil habitantes ;Consumo de energia eléctrica por habitante (kWh) ;Resíduos urbanos recolhidos selectivamente por habitante (kg) ;Despesas do município em ambiente (%) ;Alojamentos turísticos (6)
Baião ; 18.971; 174,5; 108,7; 11,8; 67,2; 21,0; 177; 63; 0,3; 108; 207; 0,0;- 99; 69;_ Pro 30; ; 6;Pre 11.783;Pre 14; 935,0; 16; 5; 3; 3; 1; 2.454; ;// ;_  2;_  15; ; 10,9; 1.601; 3.944; 9; 815; 4; 10; 5.397; 582; 36; 1.059; 1.109; 9; 305; 11.933,1; 13.093,6; 1.161; 78,1; 21,0;-; 35,3; 9;_  18
Portugal ; 10.283.822; 92.225,6; 111,5; 13,8; 64,6; 21,7; 157; 477.472; 4,6; 87.020; 113.051; 3,3;- 26.031; 34.637;_ Pro 20.345; 230; 3.119;Pre 5.954.548;Pre 7.309; 1.192,0; 5.836; 4.178; 1.190; 1.477; 960; 1.633.726; 290; 372.753;_  431;_  36.620; 587; 10,1; 1.278.164; 4.060.451; 2; 1.167; 3.985; 11.570; 2.927.393; 642.300; 40; 282.254; 357.325; 5; 126.460; 7.542.135,8; 7.997.746,2; 455.610; 39,5; 32,4;-; 103,5; 8;_  6.868
Marco de Canaveses ; 51.766; 201,9; 256,4; 13,8; 70,4; 15,9; 115; 236; 0,5; 327; 393; 3,1;- 66; 208;_ Pro 113; 1; 12;Pre 24.730;Pre 51; 882,0; 44; 36; 4; 9; 5; 8.041; ;// ;_  ;_  27; ; 7,3; 4.232; 17.517; 5; 857; 13; 35; 10.933; 1.180; 27; 2.344; 2.839; 8; 362; 21.641,5; 25.081,9; 3.440; 62,4; 21,3;-; 32,8; 11;_  12
Gondomar ; 165.629; 131,9; 1.255,5; 13,0; 67,7; 19,2; 147; 1.910; 1,2; 1.229; 1.503; 1,6;- 274; 410;_ Pro 332; ; 33;Pre 74.078;Pre 29; 1.053,0; 70; 50; 13; 16; 8; 20.752; ;// ;_  2;_  51; 12; 11,6; 15.428; 36.418; 5; 972; 35; 100; 44.174; 7.428; 36; 7.812; 7.919; 7; 1.466; 66.126,3; 73.151,1; 7.025; 43,7; 23,2;-; 90,9; 15;_  4
Póvoa de Varzim ; 62.443; 82,2; 759,6; 14,2; 67,6; 18,2; 128; 1.159; 1,9; 486; 506; 4,1;- 20; 342;_ Pro 150; 3; 14;Pre 35.692;Pre 50; 1.257,0; 35; 22; 6; 8; 5; 11.012; ;// ;_  1;_  170; 1; 17,8; 7.858; 22.813; 7; 977; 18; 66; 15.159; 2.498; 33; 1.261; 2.177; 5; 590; 45.937,8; 45.352,8;- 585; 29,3; 27,4;-; 122,9; 12;_  16
Santo Tirso ; 68.373; 136,6; 500,7; 11,0; 67,0; 21,9; 199; 437; 0,6; 467; 707; 4,3;- 240; 222;_ Pro 112; 1; 18;Pre 30.174;Pre 38; 967,0; 41; 37; 10; 14; 9; 10.845; ;// ;_  ;_  83; ; 4,7; 6.277; 23.689; 6; 979; 19; 60; 23.776; 1.874; 42; 1.508; 2.920; 6; 429; 38.907,9; 37.698,0;- 1.210; 47,6; 21,6;-; 53,6; 8;_  6
Penafiel ; 70.000; 212,2; 329,8; 14,3; 70,1; 15,6; 109; 340; 0,5; 552; 540; 0,0; 12; 271;_ Pro 132; 1; 15;Pre 31.089;Pre 75; 913,0; 45; 37; 5; 8; 4; 11.344; 1; 161;_  1;_  18; 3; 17,7; 6.078; 22.991; 6; 940; 13; 62; 15.250; 2.345; 29; 2.460; 2.835; 6; 591; 33.636,9; 34.988,0; 1.351; 58,0; 20,7;-; 31,5; 7;_  14
Amarante ; 53.490; 301,3; 177,5; 12,6; 68,9; 18,5; 147; 296; 0,6; 366; 522; 0,0;- 156; 218;_ Pro 93; 1; 14;Pre 28.916;Pre 41; 882,0; 32; 20; 6; 8; 4; 8.594; ;// ;_  1;_  128; 1; 15,6; 5.590; 15.439; 4; 878; 12; 45; 12.415; 1.952; 31; 1.885; 2.534; 7; 600; 27.979,2; 27.646,1;- 333; 61,2; 21,5;-; 42,4; 5;_  18
Paços de Ferreira ; 56.707; 71,0; 798,8; 14,4; 71,6; 13,9; 97; 241; 0,4; 486; 401; 2,1; 85; 247;_ Pro 114; ; 11;Pre 21.778;Pre 70; 856,0; 22; 17; 6; 9; 5; 9.244; ;// ;_  2;_  15; 5; 6,8; 5.443; 22.870; 12; 846; 12; 44; 11.026; 977; 25; 1.943; 2.162; 5; 450; 30.937,9; 25.894,4;- 5.044; 54,4; 24,3;-; 28,6; 6;_  5
Vila Nova de Gaia ; 299.879; 168,5; 1.780,1; 13,7; 67,3; 19,0; 139; 5.947; 2,0; 2.471; 2.685; 2,8;- 214; 783;_ Pro 638; 5; 67;Pre 143.739;Pre 98; 1.163,0; 140; 103; 22; 31; 16; 43.808; 9; 4.116;_  3;_  211; 31; 6,2; 33.540; 91.473; 4; 1.133; 73; 262; 78.892; 12.405; 35; 16.440; 18.741; 9; 2.041; 112.387,8; 129.772,9; 17.385; 26,6; 30,3;-; 60,4; 5;_  33
Matosinhos ; 174.068; 62,4; 2.788,6; 13,4; 66,0; 20,6; 154; 3.743; 2,2; 1.461; 1.654; 2,1;- 193; 518;_ Pro 383; 3; 36;Pre 82.968;Pre 31; 1.440,0; 68; 41; 15; 21; 11; 24.060; 3; 5.447;_  2;_  279; 16; 18,8; 20.688; 98.755; 35; 1.285; 66; 197; 47.642; 8.892; 37; 7.259; 7.424; 6; 1.912; 103.180,5; 111.928,7; 8.748; 31,4; 34,3;-; 128,4; 11;_  26
Felgueiras ; 56.651; 115,7; 489,5; 13,3; 71,4; 15,3; 115; 246; 0,4; 465; 414; 2,2; 51; 206;_ Pro 101; 1; 12;Pre 24.685;Pre 39; 893,0; 38; 29; 6; 9; 6; 9.179; 1; 1.434;_  ;_  159; ; 4,3; 6.470; 31.308; 4; 845; 18; 39; 12.918; 1.024; 28; 872; 1.837; 5; 641; 33.688,0; 32.716,3;- 972; 48,3; 24,5;-; 25,6; 7;_  5
Trofa ; 38.287; 72,0; 531,6; 13,1; 69,4; 17,5; 134; 420; 1,1; 317; 319; 0,0;- 2; 159;_ Pro 82; 1; 8;Pre 15.847;Pre 15; 939,0; 20; 17; 4; 4; 3; 5.370; ;// ;_  ;_ ,,, ; ; 3,8; 4.180; 18.942; 11; 1.065; 12; 39; 9.365; 687; 30; 817; 1.437; 5; 354; 18.947,6; 22.320,3; 3.373; 42,5; 22,0;-; 48,4; 6;_  2
Lousada ; 46.815; 96,1; 487,2; 14,6; 72,0; 13,5; 92; 176; 0,4; 429; 392; 7,0; 37; 189;_ Pro 82; ; 9;Pre 19.313;Pre 61; 839,0; 29; 27; 7; 8; 5; 7.712; ;// ;_  ;_  117; ; 7,4; 4.426; 18.108; 7; 822; 7; 30; 9.434; 1.035; 26; 1.084; 1.600; 5; 651; 27.183,1; 27.800,4; 617; 53,4; 19,8;-; 46,0; 6;_  6
Valongo ; 96.239; 75,1; 1.281,1; 14,5; 68,0; 17,5; 121; 922; 1,0; 833; 748; 4,8; 85; 375;_ Pro 199; 2; 18;Pre 40.912;Pre 25; 985,0; 46; 34; 10; 13; 6; 13.637; ;// ;_  1;_  180; ; 10,3; 9.155; 26.443; 16; 1.039; 21; 74; 23.059; 3.908; 33; 4.156; 4.803; 7; 553; 48.365,3; 40.682,3;- 7.683; 38,6; 23,5;-; 125,8; 12;_  7
Porto ; 214.936; 41,4; 5.189,2; 12,8; 59,0; 28,2; 221; 11.634; 5,4; 1.976; 2.986; 5,1;- 1.010; 1.084;_ Pro 525; 18; 109;Pre 138.900;Pre 50; 1.804,0; 134; 85; 41; 55; 55; 57.331; 39; 58.193;_  18;_  3.233; 14; 10,0; 41.027; 145.213; 8; 1.374; 219; 450; 73.161; 20.540; 50; 17.987; 12.769; 10; 3.113; 202.746,5; 218.769,3; 16.023; 15,4; 74,2;-; 138,6; 8;_  281
